username,repo_name,stars,repo_url
localstack,localstack,55800,https://github.com/localstack/localstack
harness,harness,32200,https://github.com/harness/harness
jenkinsci,jenkins,23100,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,14200,https://github.com/auchenberg/volkswagen
milanm,DevOps-Roadmap,12100,https://github.com/milanm/DevOps-Roadmap
dagger,dagger,11000,https://github.com/dagger/dagger
openshift,origin,8500,https://github.com/openshift/origin
concourse,concourse,7400,https://github.com/concourse/concourse
gocd,gocd,7100,https://github.com/gocd/gocd
buildbot,buildbot,5200,https://github.com/buildbot/buildbot
gaia-pipeline,gaia,5200,https://github.com/gaia-pipeline/gaia
Flagsmith,flagsmith,4800,https://github.com/Flagsmith/flagsmith
Strider-CD,strider,4600,https://github.com/Strider-CD/strider
jenkins-x,jx,4600,https://github.com/jenkins-x/jx
ovh,cds,4600,https://github.com/ovh/cds
TheLartians,ModernCppStarter,4400,https://github.com/TheLartians/ModernCppStarter
JamesIves,github-pages-deploy-action,4300,https://github.com/JamesIves/github-pages-deploy-action
werf,werf,4200,https://github.com/werf/werf
iterative,cml,4000,https://github.com/iterative/cml
xcpretty,xcpretty,3900,https://github.com/xcpretty/xcpretty
